typeid,mode,reason,idesessionuuid,kaveversion,triggeredat,triggeredby,duration,activewindow,activedocument
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",0,dbgEventReasonStopDebugging,a12b7757-6cfd-45dd-9a15-b579faed49d3,0.1004-Default,2016-05-24T22:33:53.4435345+02:00,0,00:00:00,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonAttachProgram,8ae87b46-d67c-40b0-ad92-6733fa163ca7,0.1004-Default,2016-05-25T21:22:38.1709612+02:00,0,1.14:45:54.8230703,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",0,dbgEventReasonStopDebugging,8ae87b46-d67c-40b0-ad92-6733fa163ca7,0.1004-Default,2016-05-27T12:08:32.9950319+02:00,0,00:00:00,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonLaunchProgram,77fa3202-a57a-45a1-9e8a-39d99e25592e,0.1004-Default,2016-06-04T14:20:41.5144558+02:00,0,00:00:19.9767608,0Win:vsWindowTypeDocument Package.dtsx [Design],0Doc:XMLA \PullInAuditData\Package.dtsx
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",0,dbgEventReasonStopDebugging,77fa3202-a57a-45a1-9e8a-39d99e25592e,0.1004-Default,2016-06-04T14:21:01.4957135+02:00,0,00:00:00,0Win:vsWindowTypeDocument Package.dtsx [Design],0Doc:XMLA \PullInAuditData\Package.dtsx
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonLaunchProgram,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:21:12.6765938+02:00,0,00:01:28.5816951,0Win:vsWindowTypeDocument app.config,0Doc:XML app.config
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",0,dbgEventReasonStopDebugging,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:22:41.2637893+02:00,0,00:00:00,0Win:vsWindowTypeDocument app.config,0Doc:XML app.config
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonLaunchProgram,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:23:29.9117983+02:00,0,00:00:34.8915185,0Win:vsWindowTypeDocument app.config,0Doc:XML app.config
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",2,dbgEventReasonBreakpoint,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:24:04.8038172+02:00,0,00:00:31.1085284,0Win:vsWindowTypeDocument SortingArchivedProjectIntegrationTests.cs,0Doc:CSharp SortingArchivedProjectIntegrationTests.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonStep,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:24:35.9128469+02:00,0,00:00:15.6904928,0Win:vsWindowTypeDocument SortingArchivedProjectIntegrationTests.cs,0Doc:CSharp SortingArchivedProjectIntegrationTests.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",2,dbgEventReasonStep,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:24:51.6043394+02:00,0,00:00:03.8490124,0Win:vsWindowTypeDocument SortingArchivedProjectIntegrationTests.cs,0Doc:CSharp SortingArchivedProjectIntegrationTests.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonStep,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:24:55.454356+02:00,0,00:00:00.4270058,0Win:vsWindowTypeDocument SortingArchivedProjectIntegrationTests.cs,0Doc:CSharp SortingArchivedProjectIntegrationTests.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",2,dbgEventReasonStep,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:24:55.8818606+02:00,0,00:00:01.6545001,0Win:vsWindowTypeDocument ProjectManagementUtilities.cs,0Doc:CSharp ProjectManagementUtilities.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonStep,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:24:57.5368599+02:00,0,00:00:00.2855055,0Win:vsWindowTypeDocument ProjectManagementUtilities.cs,0Doc:CSharp ProjectManagementUtilities.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",2,dbgEventReasonStep,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:24:57.8228646+02:00,0,00:00:00.6816609,0Win:vsWindowTypeDocument ProjectManagementUtilities.cs,0Doc:CSharp ProjectManagementUtilities.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonStep,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:24:58.5050268+02:00,0,00:00:00.2835036,0Win:vsWindowTypeDocument ProjectManagementUtilities.cs,0Doc:CSharp ProjectManagementUtilities.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",2,dbgEventReasonStep,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:24:58.7895288+02:00,0,00:00:00.6628640,0Win:vsWindowTypeDocument ProjectManagementUtilities.cs,0Doc:CSharp ProjectManagementUtilities.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonStep,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:24:59.45289+02:00,0,00:00:00.2811361,0Win:vsWindowTypeDocument ProjectManagementUtilities.cs,0Doc:CSharp ProjectManagementUtilities.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",2,dbgEventReasonStep,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:24:59.7345273+02:00,0,00:00:00.7747366,0Win:vsWindowTypeDocument ProjectManagementUtilities.cs,0Doc:CSharp ProjectManagementUtilities.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonStep,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:25:00.509764+02:00,0,00:00:00.2605069,0Win:vsWindowTypeDocument ProjectManagementUtilities.cs,0Doc:CSharp ProjectManagementUtilities.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",2,dbgEventReasonStep,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:25:00.7707734+02:00,0,00:00:00.8543203,0Win:vsWindowTypeDocument ProjectManagementUtilities.cs,0Doc:CSharp ProjectManagementUtilities.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonStep,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:25:01.6260917+02:00,0,00:00:00.2622986,0Win:vsWindowTypeDocument ProjectManagementUtilities.cs,0Doc:CSharp ProjectManagementUtilities.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",2,dbgEventReasonStep,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:25:01.8893903+02:00,0,00:00:00.7207627,0Win:vsWindowTypeDocument ProjectManagementUtilities.cs,0Doc:CSharp ProjectManagementUtilities.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonStep,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:25:02.6106526+02:00,0,00:00:00.2725053,0Win:vsWindowTypeDocument ProjectManagementUtilities.cs,0Doc:CSharp ProjectManagementUtilities.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",2,dbgEventReasonStep,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:25:02.8841572+02:00,0,00:00:02.4017433,0Win:vsWindowTypeDocument ProjectManagementUtilities.cs,0Doc:CSharp ProjectManagementUtilities.cs
