profileid,education,position,projectsCourses,projectsPersonal,projectsSharedSmall,projectsSharedMedium,projectsSharedLarge,teamsSolo,teamsSmall,teamsMedium,teamsLarge,codeReviews,programmingGeneral,programmingCSharp,comment,idesessionuuid,kaveversion,triggeredat,triggeredby,activewindow,activedocument
559b4420-2bb5-43fa-979e-57f7c0cee7a6,5,5,0,0,0,1,0,0,1,0,0,1,6,7,,d4a58302-c6bd-4221-ae31-3f9872fab68c,0.1015-Default,2016-12-19T12:55:33.6323075+01:00,0,0Win:vsWindowTypeDocument EmailService.cs,0Doc:CSharp emailservice.cs
559b4420-2bb5-43fa-979e-57f7c0cee7a6,5,5,0,0,0,1,0,0,1,0,0,1,6,7,,d4a58302-c6bd-4221-ae31-3f9872fab68c,0.1015-Default,2016-12-19T12:55:33.6323075+01:00,0,,
559b4420-2bb5-43fa-979e-57f7c0cee7a6,5,5,0,0,0,1,0,0,1,0,0,1,6,7,,5544f411-fbfd-47bd-9ff0-9dadd6ae89de,0.1015-Default,2016-12-21T13:00:12.7296781+01:00,0,,
559b4420-2bb5-43fa-979e-57f7c0cee7a6,5,5,0,0,0,1,0,0,1,0,0,1,6,7,,5544f411-fbfd-47bd-9ff0-9dadd6ae89de,0.1015-Default,2016-12-21T13:00:12.7296781+01:00,0,0Win:vsWindowTypeSolutionExplorer Solution Explorer,
559b4420-2bb5-43fa-979e-57f7c0cee7a6,5,5,0,0,0,1,0,0,1,0,0,1,6,7,,17368361-82fd-4be0-84c7-7ab19ca2c238,0.1015-Default,2017-01-09T10:13:39.9497424+01:00,0,,
559b4420-2bb5-43fa-979e-57f7c0cee7a6,5,5,0,0,0,1,0,0,1,0,0,1,6,7,,21a9e2d0-1d11-4700-8574-db6e8711c742,0.1015-Default,2017-01-10T14:06:12.6376944+01:00,0,,
559b4420-2bb5-43fa-979e-57f7c0cee7a6,5,5,0,0,0,1,0,0,1,0,0,1,6,7,,9ea41b01-f465-4da0-8e16-090308db808c,0.1015-Default,2017-01-13T13:01:05.8842902+01:00,0,,
559b4420-2bb5-43fa-979e-57f7c0cee7a6,5,5,0,0,0,1,0,0,1,0,0,1,6,7,,9ea41b01-f465-4da0-8e16-090308db808c,0.1015-Default,2017-01-13T13:01:05.8842902+01:00,0,0Win:vsWindowTypeDocument ScheduledUserReportService.cs,0Doc:CSharp \src\3manager.PrintingInsights.Persistence\UserReports\ScheduledUserReportService.cs
559b4420-2bb5-43fa-979e-57f7c0cee7a6,5,5,0,0,0,1,0,0,1,0,0,1,6,7,,b6c641a3-4f27-492e-a266-d44805e06bcd,0.1015-Default,2017-01-20T09:21:13.6633101+01:00,0,,
559b4420-2bb5-43fa-979e-57f7c0cee7a6,5,5,0,0,0,1,0,0,1,0,0,1,6,7,,b6c641a3-4f27-492e-a266-d44805e06bcd,0.1015-Default,2017-01-20T09:21:13.6633101+01:00,0,0Win:vsWindowTypeToolWindow Start Page,
559b4420-2bb5-43fa-979e-57f7c0cee7a6,5,5,0,0,0,1,0,0,1,0,0,1,6,7,,70154ade-8b6e-4296-8890-d7d8e6d72694,0.1015-Default,2017-01-27T08:30:30.9872479+01:00,0,0Win:vsWindowTypeToolWindow Start Page,
559b4420-2bb5-43fa-979e-57f7c0cee7a6,5,5,0,0,0,1,0,0,1,0,0,1,6,7,,70154ade-8b6e-4296-8890-d7d8e6d72694,0.1015-Default,2017-01-27T08:30:30.9872479+01:00,0,,
