typeid,scope,action,idesessionuuid,kaveversion,triggeredat,triggeredby,duration,activewindow,activedocument
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,1de5de9f-3a00-4e18-8a75-fdc672b6e6b8,0.1010-Default,12:00:47.8917711,0,00:00:00.0320844,0Win:vsWindowTypeToolWindow Unit Test Sessions - SomeTest,0Doc:CSharp \test\EasyContracts2.IntegrationTests\API\HiwiTest.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,21767836-fa6e-4ebf-92d1-20633acfed61,0.1010-Default,12:00:47.8922407,0,00:00:00.0320856,0Win:vsWindowTypeToolWindow Unit Test Sessions - SomeTest,0Doc:CSharp \test\EasyContracts2.IntegrationTests\API\HiwiTest.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,1de5de9f-3a00-4e18-8a75-fdc672b6e6b8,0.1010-Default,12:14:35.9008096,0,00:00:03.4403972,0Win:vsWindowTypeToolWindow Unit Test Sessions - SomeTest,0Doc:JSON \src\EasyContracts2\project.json
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,21767836-fa6e-4ebf-92d1-20633acfed61,0.1010-Default,12:14:35.9018123,0,00:00:03.4393945,0Win:vsWindowTypeToolWindow Unit Test Sessions - SomeTest,0Doc:JSON \src\EasyContracts2\project.json
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,21767836-fa6e-4ebf-92d1-20633acfed61,0.1010-Default,12:15:00.8405693,0,00:00:00.0421129,0Win:vsWindowTypeToolWindow Unit Test Sessions - SomeTest,0Doc:JSON \src\EasyContracts2\project.json
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,1de5de9f-3a00-4e18-8a75-fdc672b6e6b8,0.1010-Default,12:15:00.8405693,0,00:00:00.0411099,0Win:vsWindowTypeToolWindow Unit Test Sessions - SomeTest,0Doc:JSON \src\EasyContracts2\project.json
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,21767836-fa6e-4ebf-92d1-20633acfed61,0.1010-Default,12:15:10.524469,0,00:00:00.0370984,0Win:vsWindowTypeSolutionExplorer Solution Explorer,0Doc:JSON \src\EasyContracts2\project.json
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,1de5de9f-3a00-4e18-8a75-fdc672b6e6b8,0.1010-Default,12:15:10.524469,0,00:00:00.0370984,0Win:vsWindowTypeSolutionExplorer Solution Explorer,0Doc:JSON \src\EasyContracts2\project.json
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,21767836-fa6e-4ebf-92d1-20633acfed61,0.1010-Default,12:15:14.5533496,0,00:00:00.0310830,0Win:vsWindowTypeToolWindow Unit Test Sessions - SomeTest,0Doc:JSON \src\EasyContracts2\project.json
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,1de5de9f-3a00-4e18-8a75-fdc672b6e6b8,0.1010-Default,12:15:14.5533496,0,00:00:00.0310830,0Win:vsWindowTypeToolWindow Unit Test Sessions - SomeTest,0Doc:JSON \src\EasyContracts2\project.json
